"SK_CONSTRUTOR","SK_PILOTO","SK_GRANDE_PREMIO","SK_DATA","SK_STATUS","POSICAO_TREINO","POSICAO_GP","PTS_PILOTO"
1,1,18,786,1,8,"1",10
2,2,18,786,1,8,"2",8
3,3,18,786,1,8,"3",6
4,4,18,786,1,8,"4",5
5,5,18,786,1,8,"5",4
6,6,18,786,11,8,"6",3
7,7,18,786,5,8,"7",2
8,8,18,786,5,8,"8",1
9,9,18,786,4,8,"\N",0
10,10,18,786,3,8,"\N",0
11,11,18,786,7,8,"\N",0
6,12,18,786,8,8,"\N",0
2,13,18,786,5,8,"\N",0
1,14,18,786,4,8,"\N",0
7,15,18,786,10,8,"\N",0
9,16,18,786,9,8,"\N",0
4,17,18,786,4,8,"\N",0
11,18,18,786,4,8,"\N",0
10,19,18,786,4,8,"\N",0
3,20,18,786,4,8,"\N",0
8,21,18,786,4,8,"\N",0
5,22,18,786,2,8,"\N",0
1,1,18,786,1,9,"1",10
2,2,18,786,1,9,"2",8
3,3,18,786,1,9,"3",6
4,4,18,786,1,9,"4",5
5,5,18,786,1,9,"5",4
6,6,18,786,11,9,"6",3
7,7,18,786,5,9,"7",2
8,8,18,786,5,9,"8",1
9,9,18,786,4,9,"\N",0
10,10,18,786,3,9,"\N",0
11,11,18,786,7,9,"\N",0
6,12,18,786,8,9,"\N",0
2,13,18,786,5,9,"\N",0
1,14,18,786,4,9,"\N",0
7,15,18,786,10,9,"\N",0
9,16,18,786,9,9,"\N",0
4,17,18,786,4,9,"\N",0
11,18,18,786,4,9,"\N",0
10,19,18,786,4,9,"\N",0
3,20,18,786,4,9,"\N",0
8,21,18,786,4,9,"\N",0
5,22,18,786,2,9,"\N",0
1,1,18,786,1,10,"1",10
2,2,18,786,1,10,"2",8
3,3,18,786,1,10,"3",6
4,4,18,786,1,10,"4",5
5,5,18,786,1,10,"5",4
6,6,18,786,11,10,"6",3
7,7,18,786,5,10,"7",2
8,8,18,786,5,10,"8",1
9,9,18,786,4,10,"\N",0
10,10,18,786,3,10,"\N",0
11,11,18,786,7,10,"\N",0
6,12,18,786,8,10,"\N",0
2,13,18,786,5,10,"\N",0
1,14,18,786,4,10,"\N",0
7,15,18,786,10,10,"\N",0
9,16,18,786,9,10,"\N",0
4,17,18,786,4,10,"\N",0
11,18,18,786,4,10,"\N",0
10,19,18,786,4,10,"\N",0
3,20,18,786,4,10,"\N",0
8,21,18,786,4,10,"\N",0
5,22,18,786,2,10,"\N",0
1,1,18,786,1,11,"1",10
2,2,18,786,1,11,"2",8
3,3,18,786,1,11,"3",6
4,4,18,786,1,11,"4",5
5,5,18,786,1,11,"5",4
6,6,18,786,11,11,"6",3
7,7,18,786,5,11,"7",2
8,8,18,786,5,11,"8",1
9,9,18,786,4,11,"\N",0
10,10,18,786,3,11,"\N",0
11,11,18,786,7,11,"\N",0
6,12,18,786,8,11,"\N",0
2,13,18,786,5,11,"\N",0
1,14,18,786,4,11,"\N",0
7,15,18,786,10,11,"\N",0
9,16,18,786,9,11,"\N",0
4,17,18,786,4,11,"\N",0
11,18,18,786,4,11,"\N",0
10,19,18,786,4,11,"\N",0
3,20,18,786,4,11,"\N",0
8,21,18,786,4,11,"\N",0
5,22,18,786,2,11,"\N",0
1,1,18,786,1,12,"1",10
2,2,18,786,1,12,"2",8
3,3,18,786,1,12,"3",6
4,4,18,786,1,12,"4",5
5,5,18,786,1,12,"5",4
6,6,18,786,11,12,"6",3
7,7,18,786,5,12,"7",2
8,8,18,786,5,12,"8",1
9,9,18,786,4,12,"\N",0
10,10,18,786,3,12,"\N",0
11,11,18,786,7,12,"\N",0
6,12,18,786,8,12,"\N",0
2,13,18,786,5,12,"\N",0
1,14,18,786,4,12,"\N",0
7,15,18,786,10,12,"\N",0
9,16,18,786,9,12,"\N",0
4,17,18,786,4,12,"\N",0
11,18,18,786,4,12,"\N",0
10,19,18,786,4,12,"\N",0
3,20,18,786,4,12,"\N",0
8,21,18,786,4,12,"\N",0
5,22,18,786,2,12,"\N",0
1,1,18,786,1,13,"1",10
2,2,18,786,1,13,"2",8
3,3,18,786,1,13,"3",6
4,4,18,786,1,13,"4",5
5,5,18,786,1,13,"5",4
6,6,18,786,11,13,"6",3
7,7,18,786,5,13,"7",2
8,8,18,786,5,13,"8",1
9,9,18,786,4,13,"\N",0
10,10,18,786,3,13,"\N",0
11,11,18,786,7,13,"\N",0
6,12,18,786,8,13,"\N",0
2,13,18,786,5,13,"\N",0
1,14,18,786,4,13,"\N",0
7,15,18,786,10,13,"\N",0
9,16,18,786,9,13,"\N",0
4,17,18,786,4,13,"\N",0
11,18,18,786,4,13,"\N",0
10,19,18,786,4,13,"\N",0
3,20,18,786,4,13,"\N",0
8,21,18,786,4,13,"\N",0
5,22,18,786,2,13,"\N",0
1,1,18,786,1,14,"1",10
2,2,18,786,1,14,"2",8
3,3,18,786,1,14,"3",6
4,4,18,786,1,14,"4",5
5,5,18,786,1,14,"5",4
6,6,18,786,11,14,"6",3
