"ID_RESULTADO_CONSTRUTORES","ID_RESULTADOS","ID_CONSTRUTOR","PONTOS_RESULTADO_CONSTRUTOR"
470,470,8,0
471,471,6,18
472,472,4,10
473,473,7,5
474,474,11,3
475,475,9,2
476,476,5,1
477,477,3,0
478,478,13,0
479,479,2,0
480,480,8,0
481,481,1,0
482,482,6,16
483,483,4,11
484,484,7,5
485,485,1,6
486,486,2,1
487,487,9,0
488,488,5,0
489,489,3,0
490,490,13,0
491,491,8,0
492,492,11,0
493,493,6,18
494,494,1,6
495,495,11,5
496,496,4,7
497,497,7,2
498,498,9,1
499,499,5,0
500,500,3,0
501,501,8,0
502,502,2,0
503,503,13,0
504,504,11,15
505,505,1,8
506,506,2,6
507,507,9,4
508,508,7,3
509,509,6,3
510,510,13,0
511,511,5,0
512,512,8,0
513,513,4,0
514,514,3,0
515,515,6,16
516,516,4,11
517,517,11,6
518,518,1,4
519,519,7,2
520,520,3,0
521,521,9,0
522,522,2,0
523,523,5,0
524,524,13,0
525,525,8,0
526,526,6,10
527,527,1,8
528,528,2,7
529,529,4,5
530,530,11,7
531,531,7,2
532,532,3,0
533,533,9,0
534,534,5,0
535,535,8,0
536,536,14,0
537,537,6,10
538,538,4,14
539,539,11,8
540,540,1,4
541,541,2,2
542,542,3,1
543,543,9,0
544,544,5,0
545,545,14,0
546,546,8,0
547,547,7,0
548,548,4,16
549,549,6,8
550,550,11,5
551,551,1,4
552,552,7,5
553,553,2,1
554,554,3,0
555,555,9,0
556,556,5,0
557,557,8,0
558,558,14,0
559,559,6,15
560,560,4,11
561,561,11,8
562,562,1,5
563,563,2,0
564,564,8,0
565,565,5,0
566,566,9,0
567,567,14,0
568,568,7,0
569,569,3,0
570,570,4,16
571,571,6,8
572,572,9,7
573,573,3,4
574,574,1,4
575,575,7,0
576,576,15,0
577,577,16,0
578,578,17,0
579,579,18,0
580,580,4,10
581,581,7,12
582,582,3,6
583,583,1,5
584,584,9,4
585,585,6,2
586,586,15,0
587,587,17,0
588,588,18,0
589,589,16,0
590,590,4,10
591,591,7,13
592,592,1,10
593,593,3,3
594,594,15,2
595,595,9,1
596,596,6,0
597,597,17,0
598,598,18,0
599,599,16,0
600,600,4,10
601,601,6,8
602,602,1,6
603,603,15,5
604,604,7,4
605,605,3,5
606,606,9,1
607,607,17,0
608,608,18,0
609,609,16,0
610,610,1,12
611,611,4,12
612,612,7,11
613,613,3,3
614,614,9,1
615,615,6,0
616,616,15,0
617,617,17,0
618,618,18,0
619,619,1,14
620,620,3,14
621,621,4,5
622,622,7,3
623,623,6,3
624,624,15,0
625,625,17,0
626,626,18,0
627,627,9,0
628,628,4,13
629,629,3,8
630,630,6,10
631,631,9,5
632,632,1,2
633,633,7,1
634,634,16,0
635,635,15,0
636,636,17,0
637,637,18,0
638,638,1,10
639,639,6,14
640,640,15,5
641,641,3,4
642,642,7,3
643,643,9,3
644,644,17,0
645,645,18,0
646,646,16,0
647,647,4,0
648,648,6,18
649,649,17,11
650,650,18,7
651,651,7,0
652,652,1,0
653,653,16,0
654,654,4,0
655,655,3,0
656,656,15,0
657,657,9,0
658,658,4,13
659,659,1,8
660,660,6,6
661,661,16,5
662,662,7,6
663,663,15,1
664,664,9,0
665,665,3,0
666,666,17,0
667,667,18,0
668,668,1,16
669,669,4,13
670,670,16,4
671,671,6,5
672,672,7,1
673,673,15,0
674,674,3,0
675,675,9,0
676,676,17,0
677,677,18,0
678,678,4,15
679,679,1,8
680,680,16,6
681,681,6,4
682,682,7,3
683,683,9,2
684,684,15,1
685,685,3,0
686,686,18,0
687,687,17,0
688,688,1,10
689,689,6,8
690,690,7,11
691,691,16,5
692,692,3,5
693,693,4,0
694,694,17,0
695,695,15,0
696,696,18,0
697,697,9,0
698,698,1,16
699,699,4,13
700,700,16,4
701,701,7,3
702,702,9,3
703,703,6,0
704,704,15,0
705,705,18,0
706,706,17,0
707,707,3,0
708,708,1,15
709,709,4,14
710,710,7,7
711,711,3,2
712,712,16,1
713,713,15,0
714,714,6,0
715,715,9,0
716,716,17,0
717,717,18,0
718,718,1,10
719,719,4,8
720,720,16,6
721,721,3,5
722,722,6,4
723,723,15,3
724,724,7,2
725,725,17,1
726,726,9,0
727,727,18,0
728,728,1,18
729,729,4,10
730,730,6,8
731,731,16,2
732,732,7,1
733,733,9,0
734,734,15,0
735,735,18,0
736,736,17,0
737,737,3,0
738,738,1,10
739,739,4,14
740,740,3,5
741,741,16,4
742,742,9,3
743,743,6,2
744,744,7,1
745,745,15,0
746,746,17,0
747,747,18,0
748,748,4,15
749,749,1,8
750,750,7,6
751,751,9,4
752,752,15,3
753,753,3,2
754,754,16,1
755,755,17,0
756,756,6,0
757,757,18,0
758,758,6,18
759,759,4,8
760,760,3,9
761,761,16,3
762,762,1,1
763,763,15,0
764,764,19,0
765,765,7,0
766,766,17,0
767,767,18,0
768,768,6,15
769,769,3,8
770,770,16,6
771,771,4,6
772,772,1,3
773,773,15,1
774,774,7,0
775,775,19,0
776,776,17,0
777,777,18,0
778,778,6,18
779,779,16,10
780,780,4,8
781,781,3,2
782,782,19,1
783,783,7,0
784,784,15,0
785,785,17,0
786,786,18,0
787,787,1,0
788,788,6,13
789,789,16,8
790,790,3,8
791,791,4,9
792,792,1,1
793,793,15,0
794,794,7,0
795,795,19,0
796,796,18,0
797,797,17,0
798,798,6,18
799,799,4,11
800,800,16,5
801,801,3,3
802,802,15,2
803,803,1,0
804,804,19,0
805,805,7,0
806,806,17,0
807,807,18,0
808,808,4,10
809,809,16,8
810,810,6,6
811,811,3,5
812,812,15,4
813,813,7,4
814,814,17,2
815,815,18,0
816,816,1,0
817,817,19,0
818,818,6,18
819,819,16,6
820,820,4,9
821,821,15,3
822,822,19,2
823,823,3,1
824,824,17,0
825,825,7,0
826,826,18,0
827,827,1,0
828,828,6,18
829,829,16,6
830,830,15,5
831,831,1,7
832,832,17,3
833,833,19,0
834,834,18,0
835,835,4,0
836,836,3,0
837,837,7,0
838,838,6,18
839,839,16,6
840,840,4,5
841,841,7,4
842,842,1,5
843,843,18,1
844,844,15,0
845,845,19,0
846,846,3,0
847,847,17,0
848,848,6,16
849,849,4,13
850,850,16,4
851,851,1,5
852,852,3,1
853,853,19,0
854,854,15,0
855,855,7,0
856,856,17,0
857,857,18,0
858,858,6,16
859,859,1,10
860,860,16,5
861,861,3,4
862,862,15,3
863,863,19,1
864,864,4,0
865,865,7,0
866,866,17,0
867,867,18,0
868,868,6,10
869,869,16,9
870,870,4,6
871,871,1,5
872,872,3,6
873,873,19,3
874,874,15,0
875,875,7,0
876,876,17,0
877,877,18,0
878,878,6,18
879,879,4,6
880,880,3,7
881,881,16,7
882,882,15,1
883,883,1,0
884,884,19,0
885,885,7,0
886,886,17,0
887,887,18,0
888,888,1,12
889,889,6,14
890,890,15,9
891,891,19,3
892,892,7,1
893,893,4,0
894,894,17,0
895,895,3,0
896,896,16,0
897,897,18,0
898,898,6,18
899,899,16,11
900,900,3,6
901,901,1,3
902,902,15,1
903,903,19,0
904,904,4,0
905,905,7,0
906,906,17,0
907,907,18,0
908,908,6,10
909,909,16,11
910,910,1,6
911,911,4,5
912,912,3,4
913,913,15,3
914,914,19,0
915,915,17,0
916,916,7,0
917,917,18,0
918,918,6,10
919,919,3,10
920,920,16,11
921,921,4,4
922,922,1,3
923,923,15,1
924,924,7,0
925,925,19,0
926,926,17,0
927,927,18,0
928,928,3,14
929,929,1,8
930,930,6,8
931,931,4,5
932,932,16,3
933,933,15,1
934,934,7,0
935,935,19,0
936,936,17,0
937,937,18,0
938,938,1,16
939,939,3,9
940,940,6,5
941,941,4,6
942,942,15,3
943,943,16,0
944,944,18,0
945,945,17,0
946,946,19,0
947,947,7,0
948,948,1,10
949,949,6,11
950,950,4,10
951,951,3,5
952,952,16,2
953,953,15,1
954,954,17,0
955,955,7,0
956,956,18,0
957,957,19,0
958,958,17,10
959,959,1,13
960,960,4,7
961,961,15,4
962,962,16,3
963,963,3,2
964,964,19,0
965,965,7,0
966,966,6,0
967,967,18,0
968,968,6,16
969,969,1,12
970,970,3,7
971,971,4,3
972,972,16,1
973,973,7,0
974,974,15,0
975,975,19,0
976,976,17,0
977,977,18,0
978,978,6,16
979,979,4,8
980,980,3,9
981,981,7,3
982,982,19,2
983,983,17,1
984,984,16,0
985,985,15,0
986,986,18,0
987,987,1,0
988,988,6,16
989,989,1,12
990,990,16,5
991,991,3,3
992,992,19,2
993,993,4,1
994,994,7,0
995,995,17,0
996,996,18,0
997,997,15,0
998,998,3,15
999,999,1,10
1000,1000,6,7
1001,1001,4,7
1002,1002,7,0
1003,1003,17,0
1004,1004,15,0
1005,1005,16,0
1006,1006,18,0
1007,1007,19,0
1008,1008,6,14
1009,1009,3,14
1010,1010,4,5
1011,1011,1,3
1012,1012,19,2
1013,1013,7,1
1014,1014,18,0
1015,1015,16,0
1016,1016,15,0
1017,1017,17,0
1018,1018,3,18
1019,1019,6,10
1020,1020,4,5
1021,1021,19,3
1022,1022,16,2
1023,1023,15,1
1024,1024,17,0
1025,1025,18,0
1026,1026,1,0
1027,1027,7,0
1028,1028,3,18
1029,1029,6,8
1030,1030,1,9
1031,1031,19,3
1032,1032,7,1
1033,1033,16,0
1034,1034,15,0
1035,1035,18,0
1036,1036,17,0
1037,1037,4,0
1038,1038,6,15
1039,1039,3,8
1040,1040,1,10
1041,1041,4,3
1042,1042,7,2
1043,1043,16,1
1044,1044,15,0
1045,1045,17,0
1046,1046,19,0
1047,1047,18,0
1048,1048,3,10
1049,1049,1,8
1050,1050,4,11
1051,1051,7,7
1052,1052,6,2
1053,1053,16,1
1054,1054,15,0
1055,1055,19,0
1056,1056,18,0
1057,1057,17,0
1058,1058,4,12
1059,1059,1,12
1060,1060,3,11
1061,1061,19,3
1062,1062,6,1
1063,1063,15,0
1064,1064,16,0
1065,1065,7,0
1066,1066,18,0
1067,1067,17,0
1068,1068,6,16
1069,1069,3,12
1070,1070,1,5
1071,1071,16,3
1072,1072,19,2
1073,1073,4,1
1074,1074,15,0
1075,1075,17,0
1076,1076,18,0
1077,1077,7,0
1078,1078,6,10
1079,1079,1,8
1080,1080,15,10
1081,1081,4,5
1082,1082,3,3
1083,1083,17,2
1084,1084,19,1
1085,1085,7,0
1086,1086,18,0
1087,1087,16,0
1088,1088,6,11
1089,1089,1,14
1090,1090,16,8
1091,1091,4,4
1092,1092,7,2
1093,1093,15,0
1094,1094,19,0
1095,1095,3,0
1096,1096,17,0
1097,1097,18,0
1098,1098,6,10
1099,1099,3,6
1100,1100,1,4
1101,1101,19,3
1102,1102,18,2
1103,1103,7,1
1104,1104,16,0
1105,1105,21,0
1106,1106,17,0
1107,1107,4,0
1108,1108,15,0
1109,1109,3,16
1110,1110,6,4
1111,1111,4,3
1112,1112,15,3
1113,1113,7,0
1114,1114,16,0
1115,1115,17,0
1116,1116,19,0
1117,1117,21,0
1118,1118,18,0
1119,1119,1,0
1120,1120,6,10
1121,1121,3,8
1122,1122,1,4
1123,1123,4,3
1124,1124,7,1
1125,1125,19,0
1126,1126,17,0
1127,1127,16,0
1128,1128,18,0
1129,1129,15,0
1130,1130,21,0
1131,1131,6,16
1132,1132,3,7
1133,1133,4,2
1134,1134,1,1
1135,1135,16,0
1136,1136,15,0
1137,1137,18,0
1138,1138,21,0
1139,1139,19,0
1140,1140,7,0
1141,1141,17,0
1142,1142,6,10
1143,1143,3,6
1144,1144,1,4
1145,1145,15,5
1146,1146,21,1
1147,1147,16,0
1148,1148,7,0
1149,1149,4,0
1150,1150,19,0
1151,1151,17,0
1152,1152,18,0
1153,1153,6,16
1154,1154,3,7
1155,1155,17,2
1156,1156,1,1
1157,1157,4,0
1158,1158,7,0
1159,1159,16,0
1160,1160,21,0
1161,1161,18,0
1162,1162,19,0
1163,1163,15,0
1164,1164,1,10
1165,1165,6,6
1166,1166,3,4
1167,1167,4,3
1168,1168,17,2
1169,1169,21,1
1170,1170,15,0
1171,1171,19,0
1172,1172,18,0
1173,1173,7,0
1174,1174,16,0
1175,1175,6,14
1176,1176,1,9
1177,1177,17,2
1178,1178,4,1
1179,1179,3,0
1180,1180,16,0
1181,1181,15,0
1182,1182,18,0
1183,1183,21,0
1184,1184,7,0
1185,1185,19,0
1186,1186,6,16
1187,1187,1,4
1188,1188,3,3
1189,1189,4,2
1190,1190,15,1
1191,1191,16,0
1192,1192,19,0
1193,1193,21,0
1194,1194,7,0
1195,1195,18,0
1196,1196,17,0
1197,1197,6,16
1198,1198,3,4
1199,1199,16,5
1200,1200,15,1
1201,1201,17,0
1202,1202,1,0
1203,1203,19,0
1204,1204,4,0
1205,1205,21,0
1206,1206,7,0
1207,1207,18,0
1208,1208,6,10
1209,1209,1,10
1210,1210,3,5
1211,1211,4,1
1212,1212,15,0
1213,1213,18,0
1214,1214,19,0
1215,1215,7,0
1216,1216,16,0
1217,1217,17,0
1218,1218,21,0
1219,1219,6,13
1220,1220,3,10
1221,1221,1,2
1222,1222,15,1
1223,1223,17,0
1224,1224,7,0
1225,1225,19,0
1226,1226,21,0
1227,1227,16,0
1228,1228,4,0
1229,1229,18,0
1230,1230,6,16
1231,1231,3,4
1232,1232,1,5
1233,1233,17,1
1234,1234,15,0
1235,1235,4,0
1236,1236,16,0
1237,1237,19,0
1238,1238,7,0
1239,1239,18,0
1240,1240,6,16
1241,1241,3,6
1242,1242,1,3
1243,1243,19,1
1244,1244,7,0
1245,1245,16,0
1246,1246,15,0
1247,1247,17,0
1248,1248,4,0
1249,1249,18,0
1250,1250,6,16
1251,1251,19,4
1252,1252,4,5
1253,1253,16,1
1254,1254,1,0
1255,1255,17,0
1256,1256,15,0
1257,1257,7,0
1258,1258,18,0
1259,1259,3,0
1260,1260,6,16
1261,1261,1,4
1262,1262,3,3
1263,1263,4,2
1264,1264,16,1
1265,1265,17,0
1266,1266,15,0
1267,1267,19,0
1268,1268,7,0
1269,1269,18,0
1270,1270,6,16
1271,1271,1,4
1272,1272,3,3
1273,1273,17,2
1274,1274,4,1
1275,1275,15,0
1276,1276,7,0
1277,1277,19,0
1278,1278,18,0
1279,1279,16,0
1280,1280,6,14
1281,1281,1,6
1282,1282,15,4
1283,1283,17,2
1284,1284,16,0
1285,1285,19,0
1286,1286,20,0
1287,1287,21,0
1288,1288,18,0
1289,1289,22,0
1290,1290,3,0
1291,1291,6,16
1292,1292,1,5
1293,1293,17,3
1294,1294,3,2
1295,1295,21,0
1296,1296,20,0
1297,1297,19,0
1298,1298,22,0
1299,1299,18,0
1300,1300,16,0
1301,1301,15,0
1302,1302,1,10
1303,1303,6,6
1304,1304,15,4
1305,1305,16,3
1306,1306,17,2
1307,1307,22,1
1308,1308,20,0
1309,1309,18,0
1310,1310,3,0
1311,1311,19,0
1312,1312,21,0
1313,1313,3,10
1314,1314,1,9
1315,1315,6,4
1316,1316,17,3
1317,1317,15,0
1318,1318,16,0
1319,1319,20,0
1320,1320,21,0
1321,1321,19,0
1322,1322,22,0
1323,1323,18,0
1324,1324,6,10
1325,1325,3,6
1326,1326,16,4
1327,1327,17,3
1328,1328,1,2
1329,1329,15,1
1330,1330,20,0
1331,1331,21,0
1332,1332,18,0
1333,1333,22,0
1334,1334,19,0
1335,1335,1,10
1336,1336,6,10
1337,1337,15,3
1338,1338,16,2
1339,1339,21,1
1340,1340,19,0
1341,1341,20,0
1342,1342,22,0
1343,1343,3,0
1344,1344,18,0
1345,1345,17,0
1346,1346,6,16
1347,1347,19,4
1348,1348,16,3
1349,1349,1,2
1350,1350,20,1
1351,1351,22,0
1352,1352,21,0
1353,1353,15,0
1354,1354,3,0
1355,1355,18,0
1356,1356,17,0
1357,1357,3,10
1358,1358,6,6
1359,1359,1,4
1360,1360,15,3
1361,1361,20,2
1362,1362,19,1
1363,1363,17,0
1364,1364,18,0
1365,1365,21,0
1366,1366,16,0
1367,1367,22,0
1368,1368,6,12
1369,1369,3,9
1370,1370,1,5
1371,1371,19,0
1372,1372,16,0
1373,1373,15,0
1374,1374,22,0
1375,1375,20,0
1376,1376,18,0
1377,1377,21,0
1378,1378,17,0
1379,1379,6,14
1380,1380,3,6
1381,1381,1,3
1382,1382,17,2
1383,1383,15,1
1384,1384,16,0
1385,1385,20,0
1386,1386,22,0
1387,1387,21,0
1388,1388,19,0
1389,1389,18,0
1390,1390,1,10
1391,1391,6,10
1392,1392,3,3
1393,1393,15,3
1394,1394,17,0
1395,1395,16,0
1396,1396,19,0
1397,1397,21,0
1398,1398,20,0
1399,1399,22,0
1400,1400,18,0
1401,1401,3,10
1402,1402,6,6
1403,1403,16,4
1404,1404,22,5
1405,1405,20,1
1406,1406,21,0
1407,1407,18,0
1408,1408,17,0
1409,1409,1,0
1410,1410,15,0
1411,1411,19,0
1412,1412,6,16
1413,1413,1,6
1414,1414,3,3
1415,1415,15,1
1416,1416,16,0
1417,1417,17,0
1418,1418,19,0
1419,1419,21,0
1420,1420,22,0
1421,1421,20,0
1422,1422,18,0
1423,1423,6,12
1424,1424,1,9
1425,1425,22,4
1426,1426,17,1
1427,1427,3,0
1428,1428,16,0
1429,1429,20,0
1430,1430,21,0
1431,1431,18,0
1432,1432,19,0
1433,1433,15,0
1434,1434,3,14
1435,1435,6,9
1436,1436,19,2
1437,1437,16,1
1438,1438,15,0
1439,1439,17,0
1440,1440,22,0
1441,1441,20,0
1442,1442,18,0
1443,1443,21,0
1444,1444,1,0
1445,1445,1,14
1446,1446,6,6
1447,1447,17,3
1448,1448,19,2
1449,1449,15,1
1450,1450,22,0
1451,1451,20,0
1452,1452,16,0
1453,1453,21,0
1454,1454,3,0
1455,1455,18,0
1456,1456,6,12
1457,1457,3,7
1458,1458,1,7
1459,1459,22,0
1460,1460,17,0
1461,1461,15,0
1462,1462,16,0
1463,1463,18,0
1464,1464,20,0
1465,1465,21,0
1466,1466,19,0
1467,1467,6,16
1468,1468,3,4
1469,1469,16,4
1470,1470,22,2
1471,1471,18,0
1472,1472,20,0
1473,1473,15,0
1474,1474,17,0
1475,1475,1,0
1476,1476,21,0
1477,1477,19,0
1478,1478,6,10
1479,1479,22,6
1480,1480,17,7
1481,1481,3,3
1482,1482,21,0
1483,1483,16,0
1484,1484,18,0
1485,1485,1,0
1486,1486,19,0
1487,1487,20,0
1488,1488,15,0
1489,1489,6,13
1490,1490,1,10
1491,1491,16,2
1492,1492,15,1
1493,1493,19,0
1494,1494,22,0
1495,1495,18,0
1496,1496,21,0
1497,1497,17,0
1498,1498,3,0
1499,1499,20,0
1500,1500,1,16
1501,1501,6,4
1502,1502,3,5
1503,1503,17,1
1504,1504,22,0
1505,1505,15,0
1506,1506,20,0
1507,1507,19,0
1508,1508,18,0
1509,1509,16,0
1510,1510,21,0
1511,1511,1,16
1512,1512,6,6
1513,1513,3,3
1514,1514,17,1
1515,1515,15,0
1516,1516,16,0
1517,1517,22,0
1518,1518,19,0
1519,1519,18,0
1520,1520,20,0
1521,1521,21,0
1522,1522,6,13
1523,1523,1,10
1524,1524,22,2
1525,1525,21,1
1526,1526,15,0
1527,1527,18,0
1528,1528,20,0
1529,1529,3,0
1530,1530,19,0
1531,1531,16,0
1532,1532,17,0
1533,1533,1,11
1534,1534,6,6
1535,1535,22,4
1536,1536,19,3
1537,1537,15,2
1538,1538,16,0
1539,1539,20,0
1540,1540,17,0
1541,1541,21,0
1542,1542,3,0
1543,1543,18,0
1544,1544,6,16
1545,1545,22,4
1546,1546,1,3
1547,1547,21,2
1548,1548,17,1
1549,1549,16,0
1550,1550,15,0
1551,1551,3,0
1552,1552,18,0
1553,1553,19,0
1554,1554,20,0
1555,1555,1,16
1556,1556,6,4
1557,1557,16,3
1558,1558,3,2
1559,1559,17,1
1560,1560,22,0
1561,1561,15,0
1562,1562,20,0
1563,1563,19,0
1564,1564,18,0
1565,1565,21,0
1566,1566,1,16
1567,1567,6,4
1568,1568,16,3
1569,1569,3,2
1570,1570,15,1
1571,1571,19,0
1572,1572,18,0
1573,1573,22,0
1574,1574,20,0
1575,1575,21,0
1576,1576,17,0
1577,1577,6,10
1578,1578,1,10
